"name","slug","pop2024","growth","aland","usps","intptlat","intptlong","densityMi","rank"
"El Paso","el-paso-tx",675418,0,666715000,"TX",31.8478,-106.431,2623.8087038689696,1
"Corpus Christi","corpus-christi-tx",313061,0,413630000,"TX",27.7543,-97.1734,1960.2736503638516,2
"Madison","madison-wi",282967,0,205486000,"WI",43.0878,-89.4299,3566.5910572983075,3
"Gilbert","gilbert-az",279628,0,177348000,"AZ",33.3102,-111.743,4083.702776462097,4
"Laredo","laredo-tx",256771,0,273873000,"TX",27.5604,-99.4892,2428.2674451296766,5
"Scottsdale","scottsdale-az",243590,0,476525000,"AZ",33.6843,-111.861,1323.9559309585018,6
"Boise","boise-id",233860,0,216714000,"ID",43.6021,-116.231,2794.9158799154648,7
"Spokane","spokane-wa",231132,0,178086000,"WA",47.6669,-117.433,3361.4763653515715,8
"Hialeah","hialeah-fl",218916,0,55895700,"FL",25.8699,-80.3029,10143.757748807153,9
