"name","slug","pop2024","growth","aland","usps","intptlat","intptlong","densityMi","rank"
"Bergenfield","bergenfield-nj",28031,0,7521670,"NJ",40.9223,-73.998,9652.150386815694,1
"Broadview Heights","broadview-heights-oh",19417,0,33795800,"OH",41.3182,-81.6793,1488.0556163783665,2
"Ridgefield","ridgefield-ct",7655,0,16566300,"CT",41.2738,-73.4936,1196.7940940342744,3
"Hopkinton","hopkinton-ma",3298,0,3968790,"MA",42.2256,-71.5241,2152.2479143517294,4
